date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:27	233/233	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Oct%202020%2010:21:55%20GMT	https://www.blogger.com/img/widgets/stats-flipper.png	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/www.blogger.com/img/widgets/stats-flipper.png	(from https://www.blogger.com/static/v1/widgets/3416767676-css_bundle_v2.css)
01:09:27	335/335	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Oct%202020%2012:15:37%20GMT	https://resources.blogblog.com/img/widgets/s_top.png	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/resources.blogblog.com/img/widgets/s_top.png	(from https://www.blogger.com/static/v1/widgets/3416767676-css_bundle_v2.css)
01:09:28	48563/48563	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/feeds/5443309192279437670/comments/default	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/feeds/5443309192279437670/comments/default	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:28	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2008%20Oct%202020%2001:26:47%20GMT	http://resources.blogblog.com/img/blank.gif	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/resources.blogblog.com/img/blank.gif	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:29	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1482392559102	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040029dcf.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:30	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1484054723451	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040028edd.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:30	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1486366969410	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b00400220e0.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:31	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1487143944623	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040021311.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:32	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1496174464546	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040021d26.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:33	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1496994879760	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040028d22.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:34	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1515072602299	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040025232.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:35	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1515680171579	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b00400229bf.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:35	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1516128015404	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040023221.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:37	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1516179185900	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002e30e.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:37	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1515753186465	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002446f.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:38	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1518181466589	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040027ff4.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:39	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1518195839275	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002aaff.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:40	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1518242139936	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b0040020658.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:40	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1519131779416	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b00400261d4.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
01:09:41	135096/135096	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html?showComment=1519160491763	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002e715.html	(from http://bwgypyth.blogspot.com/2016/11/howto-understand-0b000002-vs-0b004002.html)
